NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| gbdt-ordered/denormal        | IDENTICAL x2 | 0126f4db2db42664 | 0126f4db2db42664 |
| gbdt-ordered/odd             | IDENTICAL x2 | 4298d01419df5756 | 4298d01419df5756 |
| gbdt-pair-logit/base         | IDENTICAL x2 | 31e4f6ed00121ebb | 31e4f6ed00121ebb |
| gbdt-pair-logit/denormal     | IDENTICAL x2 | 485f0e6ba6701a04 | 485f0e6ba6701a04 |
| gbdt-pair-logit/odd          | IDENTICAL x2 | 0f054e835edf2711 | 0f054e835edf2711 |
| gbdt-parametric-losses/base  | IDENTICAL x2 | bf0c582ab2b4f7a5 | bf0c582ab2b4f7a5 |
| gbdt-parametric-losses/denormal | IDENTICAL x2 | d80eef4e2ad12c97 | d80eef4e2ad12c97 |
| gbdt-parametric-losses/odd   | IDENTICAL x2 | 462337fbfa2adb14 | 462337fbfa2adb14 |
| gbdt-pointwise-l2-bayesian-eval/base | IDENTICAL x2 | 2ac238ddce22e2ef | 2ac238ddce22e2ef |
| gbdt-pointwise-l2-bayesian-eval/denormal | IDENTICAL x2 | 2ac238ddce22e2ef | 2ac238ddce22e2ef |
| gbdt-pointwise-l2-bayesian-eval/odd | IDENTICAL x2 | 59cf66d7ddc936b4 | 59cf66d7ddc936b4 |
| gbdt-query-rmse/base         | IDENTICAL x2 | b3f448427d6e764f | b3f448427d6e764f |
| gbdt-query-rmse/denormal     | IDENTICAL x2 | 9eafe04d1d3fd94a | 9eafe04d1d3fd94a |
| gbdt-query-rmse/odd          | IDENTICAL x2 | 13b70161e523142f | 13b70161e523142f |
| gbdt-ranking-defaults/base   | IDENTICAL x2 | 158923b876af061c | 158923b876af061c |
| gbdt-ranking-defaults/denormal | IDENTICAL x2 | 18c272e69773d73b | 18c272e69773d73b |
| gbdt-ranking-defaults/odd    | IDENTICAL x2 | 61d01fa614281a93 | 61d01fa614281a93 |
| gbdt-rmse/base               | IDENTICAL x2 | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/odd                | IDENTICAL x2 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-stochastic-arms/base    | IDENTICAL x2 | 3ae6c8868878bc9c | 3ae6c8868878bc9c |
