NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_solver_host', '_mojolearn_trees_host'] commit=6796ceff932391adeaea8d788a6c5230ddfacf53
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | cpu-apple-m4     |
| iforest/wide                 | IDENTICAL x3 | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d | (not run)        |
| kde/base                     | IDENTICAL x3 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | (not run)        |
| kde/denormal                 | IDENTICAL x3 | 2128392fe1eb228a | 2128392fe1eb228a | 2128392fe1eb228a | (not run)        |
| kde/denormal_ftz             | IDENTICAL x3 | 2128392fe1eb228a | 2128392fe1eb228a | 2128392fe1eb228a | (not run)        |
| kde/dupes                    | IDENTICAL x3 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | (not run)        |
| kde/hashed                   | IDENTICAL x3 | dc279c30b7c5d070 | dc279c30b7c5d070 | dc279c30b7c5d070 | (not run)        |
| kde/negative                 | IDENTICAL x3 | 84ca35b6a157c265 | 84ca35b6a157c265 | 84ca35b6a157c265 | (not run)        |
| kde/odd                      | IDENTICAL x3 | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 | (not run)        |
| kde/ties                     | IDENTICAL x3 | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 | (not run)        |
| kde/wide                     | IDENTICAL x3 | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 | (not run)        |
| kmeans/base                  | IDENTICAL x3 | 5aa44cc11034dec9 | 5aa44cc11034dec9 | 5aa44cc11034dec9 | (not run)        |
| kmeans/denormal              | IDENTICAL x3 | 993fe5caff144b0c | 993fe5caff144b0c | 993fe5caff144b0c | (not run)        |
