NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=3e7d0f47501c8e0f776dcdcfedeb45ffd6a28d28
| par-forecast-holtwinters/denormal | model  | DIVERGENT    | 4aa7580e6078aafc | c90ee49846c6ff4d |
| par-forecast-holtwinters/denormal | batch  | DIVERGENT    | e9ecaede17a9e007 | 2e07b728643d996b |
| par-forecast-holtwinters/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/denormal_ftz | infer  | DIVERGENT    | c510c55d7fe7634c | cc93f4db4d554e1b |
| par-forecast-holtwinters/denormal_ftz | model  | DIVERGENT    | 4aa7580e6078aafc | c90ee49846c6ff4d |
| par-forecast-holtwinters/denormal_ftz | batch  | DIVERGENT    | e9ecaede17a9e007 | 2e07b728643d996b |
| par-forecast-holtwinters/denormal_ftz | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/denormal_ftz | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/denormal_ftz | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/denormal_ftz | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/dupes | infer  | DIVERGENT    | f64346115fd1e485 | c194b5e58fbc1b23 |
| par-forecast-holtwinters/dupes | model  | DIVERGENT    | 574f8ee721ff8cb1 | 34de6fc2904f70ad |
| par-forecast-holtwinters/dupes | batch  | DIVERGENT    | 5a24aebcd557a49d | 9c2d7eed1bba3343 |
| par-forecast-holtwinters/dupes | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/dupes | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/dupes | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/dupes | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/hashed | infer  | DIVERGENT    | e889103b9e2156b0 | 6f0ec3b50963f52c |
| par-forecast-holtwinters/hashed | model  | DIVERGENT    | b98682943d8f6ca8 | e6a8719a545d036d |
| par-forecast-holtwinters/hashed | batch  | DIVERGENT    | 560a4a23f15b7be0 | 44d3063d549d0846 |
