EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL corpus
EXPECTED FAIL vendors
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL completed
EXPECTED FAIL loss
EXPECTED FAIL finite
MATCH 0 loss 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4
MATCH 72 loss 5.711604595184326 5.711604595184326
MATCH 73 loss 7.921144485473633 7.921144485473633
MATCH 74 loss 8.104143142700195 8.104143142700195
MATCH 75 loss 7.272234916687012 7.272234916687012
MATCH 76 loss 6.580348014831543 6.580348014831543
MATCH 77 loss 6.665215492248535 6.665215492248535
MATCH 78 loss 5.983434677124023 5.983434677124023
MATCH 79 loss 4.67276668548584 4.67276668548584
MATCH 80 loss 5.005313873291016 5.005313873291016
MATCH 81 loss 5.256272315979004 5.256272315979004
MATCH 82 loss 5.371248245239258 5.371248245239258
MATCH 83 loss 4.037258625030518 4.037258625030518
MATCH 84 loss 5.082676410675049 5.082676410675049
MATCH 85 loss 4.438282012939453 4.438282012939453
MATCH 86 loss 4.889908790588379 4.889908790588379
MATCH 87 loss 4.647469997406006 4.647469997406006
MATCH 88 loss 4.255309581756592 4.255309581756592
MATCH 89 loss 5.719189643859863 5.719189643859863
MATCH 90 loss 5.4893951416015625 5.4893951416015625
MATCH 91 loss 5.465813636779785 5.465813636779785
MATCH 92 loss 5.365256309509277 5.365256309509277
MATCH 93 loss 3.3934645652770996 3.3934645652770996
MATCH 94 loss 4.948014259338379 4.948014259338379
MATCH 95 loss 6.097135543823242 6.097135543823242
MATCH 96 loss 6.7292256355285645 6.7292256355285645
MATCH 97 loss 7.037971496582031 7.037971496582031
MATCH 98 loss 6.462406158447266 6.462406158447266
MATCH 99 loss 6.443643093109131 6.443643093109131
MATCH 100 loss 5.043581008911133 5.043581008911133
MATCH 101 loss 5.177646636962891 5.177646636962891
MATCH 102 loss 5.123648643493652 5.123648643493652
MATCH 103 loss 4.968550682067871 4.968550682067871
MATCH 104 loss 4.245152473449707 4.245152473449707
MATCH 105 loss 4.295493125915527 4.295493125915527
MATCH 106 loss 4.371890068054199 4.371890068054199
MATCH 107 loss 3.9977493286132812 3.9977493286132812
MATCH 108 loss 3.7372140884399414 3.7372140884399414
