CORPUS enwik8
EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL completed
EXPECTED FAIL timing
EXPECTED FAIL timing
EXPECTED FAIL loss
EXPECTED FAIL dispatch
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL corpus
EXPECTED FAIL attention
EXPECTED FAIL binding
EXPECTED FAIL finite
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22 d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 346 loss 2.1997132301330566 2.1997132301330566
MATCH step 347 loss 2.1019649505615234 2.1019649505615234
MATCH step 348 loss 2.148545265197754 2.148545265197754
MATCH step 349 loss 2.4500532150268555 2.4500532150268555
MATCH step 350 loss 2.540118932723999 2.540118932723999
MATCH step 351 loss 2.9290475845336914 2.9290475845336914
MATCH step 352 loss 2.7007429599761963 2.7007429599761963
MATCH step 353 loss 2.621846914291382 2.621846914291382
MATCH step 354 loss 2.717398166656494 2.717398166656494
MATCH step 355 loss 2.601790428161621 2.601790428161621
MATCH step 356 loss 2.573516845703125 2.573516845703125
MATCH step 357 loss 2.236335277557373 2.236335277557373
MATCH step 358 loss 2.524556875228882 2.524556875228882
MATCH step 359 loss 2.3881893157958984 2.3881893157958984
MATCH step 360 loss 2.356649875640869 2.356649875640869
MATCH step 361 loss 2.249587059020996 2.249587059020996
MATCH step 362 loss 2.7033987045288086 2.7033987045288086
MATCH step 363 loss 3.841843605041504 3.841843605041504
MATCH step 364 loss 2.486969470977783 2.486969470977783
MATCH step 365 loss 2.512014865875244 2.512014865875244
MATCH step 366 loss 2.2681636810302734 2.2681636810302734
MATCH step 367 loss 2.684060573577881 2.684060573577881
MATCH step 368 loss 2.478610038757324 2.478610038757324
MATCH step 369 loss 2.92063045501709 2.92063045501709
MATCH step 370 loss 2.412904739379883 2.412904739379883
MATCH step 371 loss 2.2250123023986816 2.2250123023986816
MATCH step 372 loss 2.2969205379486084 2.2969205379486084
MATCH step 373 loss 2.220184564590454 2.220184564590454
MATCH step 374 loss 2.3625388145446777 2.3625388145446777
MATCH step 375 loss 2.424304485321045 2.424304485321045
MATCH step 376 loss 2.3746070861816406 2.3746070861816406
MATCH step 377 loss 3.063754081726074 3.063754081726074
MATCH step 378 loss 3.186145782470703 3.186145782470703
MATCH step 379 loss 2.901956558227539 2.901956558227539
MATCH step 380 loss 2.3845176696777344 2.3845176696777344
MATCH step 381 loss 2.548928737640381 2.548928737640381
MATCH step 382 loss 2.3416643142700195 2.3416643142700195
MATCH step 383 loss 2.2983317375183105 2.2983317375183105
MATCH step 384 loss 2.1693577766418457 2.1693577766418457
MATCH step 385 loss 2.14577317237854 2.14577317237854
MATCH step 386 loss 2.1321840286254883 2.1321840286254883
MATCH step 387 loss 1.976688265800476 1.976688265800476
MATCH step 388 loss 2.0256834030151367 2.0256834030151367
