# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| elasticnet-l2end-no-intercept/denormal | batch  | IDENTICAL x3 | d960b91ea7d32a59 | d960b91ea7d32a59 | d960b91ea7d32a59 |
| elasticnet-l2end-no-intercept/denormal_ftz | batch  | IDENTICAL x3 | d960b91ea7d32a59 | d960b91ea7d32a59 | d960b91ea7d32a59 |
| elasticnet-l2end-no-intercept/dupes | batch  | IDENTICAL x3 | ce8c005672b79493 | ce8c005672b79493 | ce8c005672b79493 |
| elasticnet-l2end-no-intercept/hashed | batch  | IDENTICAL x3 | 39e1f209eadbfe8b | 39e1f209eadbfe8b | 39e1f209eadbfe8b |
| elasticnet-l2end-no-intercept/negative | batch  | IDENTICAL x3 | 77a32647a79a885c | 77a32647a79a885c | 77a32647a79a885c |
| elasticnet-l2end-no-intercept/odd | batch  | IDENTICAL x3 | 0be9aed689343358 | 0be9aed689343358 | 0be9aed689343358 |
| elasticnet-l2end-no-intercept/ties | batch  | IDENTICAL x3 | 5c511c7121d55324 | 5c511c7121d55324 | 5c511c7121d55324 |
| elasticnet-l2end-no-intercept/wide | batch  | IDENTICAL x3 | 53e6feb453d3354f | 53e6feb453d3354f | 53e6feb453d3354f |
| elasticnet/base              | batch  | IDENTICAL x3 | 956915d5c61aa604 | 956915d5c61aa604 | 956915d5c61aa604 |
| elasticnet/denormal          | batch  | IDENTICAL x3 | 19772c145c4b0d34 | 19772c145c4b0d34 | 19772c145c4b0d34 |
| elasticnet/denormal_ftz      | batch  | IDENTICAL x3 | 19772c145c4b0d34 | 19772c145c4b0d34 | 19772c145c4b0d34 |
| elasticnet/dupes             | batch  | IDENTICAL x3 | ea2fea7d1c19311d | ea2fea7d1c19311d | ea2fea7d1c19311d |
| elasticnet/hashed            | batch  | IDENTICAL x3 | 33e720c15cc1f77d | 33e720c15cc1f77d | 33e720c15cc1f77d |
| elasticnet/negative          | batch  | IDENTICAL x3 | 57654a86835f557b | 57654a86835f557b | 57654a86835f557b |
| elasticnet/odd               | batch  | IDENTICAL x3 | f140130bad4b7f18 | f140130bad4b7f18 | f140130bad4b7f18 |
| elasticnet/ties              | batch  | IDENTICAL x3 | 81cfdf154152898d | 81cfdf154152898d | 81cfdf154152898d |
| elasticnet/wide              | batch  | IDENTICAL x3 | cff22b28b0b5e227 | cff22b28b0b5e227 | cff22b28b0b5e227 |
| et-clf-entropy-bestfirst/base | batch  | IDENTICAL x3 | 3e9828d01a238a1c | 3e9828d01a238a1c | 3e9828d01a238a1c |
| et-clf-entropy-bestfirst/denormal | batch  | IDENTICAL x3 | 74877a87428a024d | 74877a87428a024d | 74877a87428a024d |
| et-clf-entropy-bestfirst/denormal_ftz | batch  | IDENTICAL x3 | 74877a87428a024d | 74877a87428a024d | 74877a87428a024d |
| et-clf-entropy-bestfirst/dupes | batch  | IDENTICAL x3 | 286ff4631eb07120 | 286ff4631eb07120 | 286ff4631eb07120 |
| et-clf-entropy-bestfirst/hashed | batch  | IDENTICAL x3 | 51ab4c01f05678d6 | 51ab4c01f05678d6 | 51ab4c01f05678d6 |
| et-clf-entropy-bestfirst/negative | batch  | IDENTICAL x3 | fdaecd58282fb477 | fdaecd58282fb477 | fdaecd58282fb477 |
| et-clf-entropy-bestfirst/odd | batch  | IDENTICAL x3 | 8fcb52aa1791fee5 | 8fcb52aa1791fee5 | 8fcb52aa1791fee5 |
| et-clf-entropy-bestfirst/ties | batch  | IDENTICAL x3 | 85f2c124dd086d66 | 85f2c124dd086d66 | 85f2c124dd086d66 |
| et-clf-entropy-bestfirst/wide | batch  | IDENTICAL x3 | f61b87bbba4c3449 | f61b87bbba4c3449 | f61b87bbba4c3449 |
| et-clf/base                  | batch  | IDENTICAL x3 | 81b2634afb4f8a2b | 81b2634afb4f8a2b | 81b2634afb4f8a2b |
| et-clf/denormal              | batch  | IDENTICAL x3 | 9e6b4329ac925a6a | 9e6b4329ac925a6a | 9e6b4329ac925a6a |
| et-clf/denormal_ftz          | batch  | IDENTICAL x3 | 9e6b4329ac925a6a | 9e6b4329ac925a6a | 9e6b4329ac925a6a |
| et-clf/dupes                 | batch  | IDENTICAL x3 | 1b6985d9b8825e11 | 1b6985d9b8825e11 | 1b6985d9b8825e11 |
| et-clf/hashed                | batch  | IDENTICAL x3 | 929c4ae2aa814f50 | 929c4ae2aa814f50 | 929c4ae2aa814f50 |
| et-clf/negative              | batch  | IDENTICAL x3 | b852e5cd9819f18a | b852e5cd9819f18a | b852e5cd9819f18a |
